p1,p2,l1,l2,hard_classes,soft_a,soft_b,soft_c,soft_d
0.30624583462123606,0.86600042623740381,1,1,3,0.092996,0.601004,0.041004,0.264996
0.94719515305303326,0.5880004784029792,0,0,0,0.02266000000000002,0.03234000000000003,0.38934,0.5556599999999999
0.76507575480807044,0.37800657816365585,1,1,3,0.14617,0.08882999999999999,0.47583000000000003,0.28917
0.94240329464630301,0.83928312366334179,1,0,2,0.00933800000000001,0.04866200000000004,0.15166200000000002,0.7903379999999999
0.094101993935357536,0.66300142804202156,0,1,1,0.305322,0.600678,0.031678,0.062322
0.87502989923151897,0.97704663011755621,1,1,3,0.0028750000000000026,0.122125,0.020125000000000018,0.8548749999999999
0.97977908764442634,0.0570000000007354,1,0,2,0.019803000000000015,0.001197000000000001,0.9231969999999999,0.055803
0.3233847479567778,0.43200028673322505,0,1,1,0.385104,0.292896,0.18289600000000003,0.139104
0.45504789023298209,0.73000002972183187,1,1,3,0.14715,0.3978499999999999,0.12285000000000001,0.33215
0.9353749441500383,0.58900000000011932,1,1,3,0.026714999999999982,0.038284999999999965,0.38428500000000004,0.550715
0.36760806402050367,0.93800003069176541,1,1,3,0.03924600000000004,0.593754,0.02275400000000002,0.344246
0.46903380329305522,0.83600000034861699,1,1,3,0.08708400000000002,0.443916,0.07691600000000001,0.392084
0.22875013921243484,0.76000000000009071,0,1,1,0.18552,0.58748,0.05448,0.17252
0.18513724591183145,0.14100173621612147,0,0,0,0.700085,0.11491499999999998,0.158915,0.026084999999999997
0.98702890909067564,0.99800000112823839,1,1,3,2.6000000000000046e-05,0.012974000000000012,0.001974000000000002,0.985026
0.031038499391996772,0.078340017230110789,0,0,0,0.893418,0.075582,0.028582,0.002418
0.3610345144493925,0.62706232354133229,0,0,0,0.238347,0.400653,0.134653,0.226347
0.28801573348062998,0.010000000850590387,0,0,0,0.70488,0.00712,0.28512,0.0028799999999999997
0.075168929998625567,0.17100000000000001,0,0,0,0.766825,0.158175,0.062174999999999994,0.012825000000000001
0.20823806891249078,0.16801520055732763,0,0,0,0.660608,0.133392,0.171392,0.034608
0.84608625758665434,0.81100000000712669,1,0,2,0.029105999999999996,0.12489400000000003,0.15989399999999995,0.686106
0.89216510752697964,0.10700000095549196,0,0,0,0.09644399999999999,0.011555999999999999,0.796556,0.095444
0.35541008976298766,0.20100005552654265,0,0,0,0.515355,0.129645,0.283645,0.071355
0.27500016355450602,0.83300000000002283,1,0,2,0.12107500000000003,0.6039249999999999,0.045925000000000014,0.229075
0.17835971751494606,0.52403670634691635,0,1,1,0.391272,0.43072800000000006,0.084728,0.093272
0.082441454960200097,0.29500000289373712,0,0,0,0.64719,0.27081,0.05781000000000001,0.02419
0.27602273982673398,0.91300000438656614,0,1,1,0.06298799999999997,0.661012,0.02401199999999999,0.25198800000000005
0.15227445753649682,0.90500004729461603,0,1,1,0.08055999999999998,0.76744,0.014439999999999996,0.13756
0.12966917109040729,0.52700000007417069,0,1,1,0.412929,0.460071,0.060071,0.066929
0.74353016111844727,0.72700610131656551,0,0,0,0.070161,0.186839,0.20283900000000002,0.540161
0.81306652182576633,0.55801156185801937,0,1,1,0.08265400000000002,0.10434600000000004,0.35934599999999994,0.453654
1.0000500499002516,0.027000362139023855,1,0,2,0.0,0.0,0.973,0.027
0.9831878493461006,0.045000000000299578,1,0,2,0.016235000000000013,0.0007650000000000006,0.938765,0.044235
0.531918974170009,0.21702318608896204,1,0,2,0.368793,0.10220699999999999,0.41420700000000005,0.114793
0.90501131444384886,0.46800004628838421,1,0,2,0.05053999999999999,0.04445999999999999,0.48146000000000005,0.42354
0.81414351396447715,0.86401477743043431,0,1,1,0.02529600000000001,0.16070400000000004,0.110704,0.7032959999999999
0.52803039883896175,0.82200000013882901,0,1,1,0.08401600000000002,0.38798399999999994,0.09398400000000003,0.434016
0.58701032171471623,0.16300000000028708,1,1,3,0.345681,0.067319,0.49131899999999995,0.095681
0.075128008906344065,0.36100000000046573,0,1,1,0.5917140000000001,0.334286,0.047286,0.026713999999999998
0.73119009546760472,0.17600000000120117,1,0,2,0.22165600000000002,0.047344,0.602344,0.128656
0.89411000323571088,0.27200037910630881,0,0,0,0.07716799999999999,0.028831999999999997,0.650832,0.24316800000000002
0.26089563374731234,0.28910574626041102,0,0,0,0.52614,0.21386,0.18486000000000002,0.07514
0.48129111738425678,0.16400000029088166,0,0,0,0.433884,0.08511600000000001,0.402116,0.078884
0.3120011953921884,0.78400000006171278,1,0,2,0.14860799999999996,0.539392,0.067392,0.24460800000000002
0.21624171925033972,0.38503402189185121,0,0,0,0.48216000000000003,0.30184,0.13283999999999999,0.08316
0.96930014825947053,0.30400266378303958,1,1,3,0.022272000000000017,0.00972800000000001,0.6737279999999999,0.294272
0.49100083022880453,0.12600000000000008,0,0,0,0.444866,0.064134,0.429134,0.061866
0.72600350615549147,0.23400000001848387,0,1,1,0.20988400000000001,0.064116,0.5561159999999999,0.169884
